Date,Open,High,Low,Close,Volume
2021-10-15 00:00:00,150.17,150.35,147.35,148.055,34661.7
2021-10-15 01:00:00,148.055,148.74,146.86,148.31,31883.9
2021-10-15 02:00:00,148.31,150.77,147.405,150.645,33970.9
2021-10-15 03:00:00,150.645,151.475,150.53,150.96,25555.8
2021-10-15 04:00:00,150.96,156.425,150.96,154.795,103914.0
2021-10-15 05:00:00,154.795,155.595,152.805,154.905,60416.6
2021-10-15 06:00:00,154.905,163.275,154.74,161.955,261325.9
2021-10-15 07:00:00,161.955,163.19,160.17,161.58,91752.9
2021-10-15 08:00:00,161.58,165.38,158.71,159.5,216618.0
2021-10-15 09:00:00,159.5,161.375,157.09,160.155,92250.9
2021-10-15 10:00:00,160.155,160.6,157.91,159.385,38718.3
2021-10-15 11:00:00,159.385,159.85,157.7,158.11,32231.3
2021-10-15 12:00:00,158.11,159.8,157.26,158.575,32701.1
2021-10-15 13:00:00,158.575,159.945,157.805,159.635,28245.3
2021-10-15 14:00:00,159.635,163.06,158.18,160.555,75536.9
2021-10-15 15:00:00,160.555,160.785,158.18,159.3,47314.3
2021-10-15 16:00:00,159.3,162.345,158.81,161.965,47565.7
2021-10-15 17:00:00,161.965,162.275,160.5,161.17,30403.9
2021-10-15 18:00:00,161.17,162.95,160.415,161.26,27757.6
2021-10-15 19:00:00,161.26,161.45,159.59,160.51,23152.4
2021-10-15 20:00:00,160.51,162.615,159.5,162.44,41808.1
2021-10-15 21:00:00,162.44,162.72,159.25,159.46,28845.5
2021-10-15 22:00:00,159.46,162.15,159.255,161.95,26184.0
2021-10-15 23:00:00,161.95,164.345,160.735,163.195,47162.5
2021-10-16 00:00:00,163.195,163.475,159.715,160.25,41302.6
2021-10-16 01:00:00,160.25,160.96,158.535,158.92,26335.5
2021-10-16 02:00:00,158.92,160.15,158.525,159.88,17658.9
2021-10-16 03:00:00,159.88,159.94,158.62,158.83,27533.4
2021-10-16 04:00:00,158.83,159.5,158.4,158.59,16908.1
2021-10-16 05:00:00,158.59,159.87,158.585,159.255,13822.3
2021-10-16 06:00:00,159.255,159.88,158.95,159.795,15726.8
2021-10-16 07:00:00,159.795,159.795,157.23,158.405,24910.1
2021-10-16 08:00:00,158.405,161.0,158.33,160.755,27274.7
2021-10-16 09:00:00,160.755,163.0,160.4,161.865,34532.9
2021-10-16 10:00:00,161.865,164.86,161.745,162.755,73538.1
2021-10-16 11:00:00,162.755,163.445,161.945,162.415,23881.8
2021-10-16 12:00:00,162.415,163.115,158.98,159.205,59221.8
2021-10-16 13:00:00,159.205,160.54,159.025,160.185,20831.7
2021-10-16 14:00:00,160.185,160.965,159.43,159.73,17548.3
2021-10-16 15:00:00,159.73,160.61,159.225,159.75,18085.7
2021-10-16 16:00:00,159.75,160.335,159.205,160.05,9286.7
2021-10-16 17:00:00,160.05,160.135,158.325,159.07,21236.1
2021-10-16 18:00:00,159.07,159.495,158.78,159.08,8340.5
2021-10-16 19:00:00,159.08,159.24,158.335,158.46,8173.8
2021-10-16 20:00:00,158.46,159.065,158.3,158.945,9619.4
2021-10-16 21:00:00,158.945,158.995,156.2,157.18,22747.8
2021-10-16 22:00:00,157.18,158.48,156.77,158.135,15269.9
2021-10-16 23:00:00,158.135,158.855,157.295,157.72,10377.6
2021-10-17 00:00:00,157.72,159.55,156.9,159.36,38099.4
2021-10-17 01:00:00,159.36,160.75,158.955,159.16,36692.3
2021-10-17 02:00:00,159.16,160.11,159.11,159.855,12505.0
2021-10-17 03:00:00,159.855,163.18,159.535,163.1,33351.1
2021-10-17 04:00:00,163.1,164.87,162.455,163.3,75154.5
2021-10-17 05:00:00,163.3,163.6,160.805,161.215,33763.5
2021-10-17 06:00:00,161.215,163.71,161.175,163.485,37831.6
2021-10-17 07:00:00,163.485,165.29,162.145,162.28,53956.2
2021-10-17 08:00:00,162.28,167.765,162.275,166.51,80124.2
2021-10-17 09:00:00,166.51,167.0,165.64,165.98,31176.0
2021-10-17 10:00:00,165.98,166.76,164.94,166.3,27476.0
2021-10-17 11:00:00,166.3,166.63,163.5,163.87,49256.2
2021-10-17 12:00:00,163.87,165.575,163.73,164.85,32782.1
2021-10-17 13:00:00,164.85,164.905,163.6,164.595,25007.7
2021-10-17 14:00:00,164.595,165.24,163.98,164.495,20829.6
2021-10-17 15:00:00,164.495,164.57,160.2,160.835,79225.1
2021-10-17 16:00:00,160.835,161.765,159.305,160.92,29080.6
2021-10-17 17:00:00,160.92,160.985,159.7,160.145,11331.1
2021-10-17 18:00:00,160.145,160.93,159.825,160.49,10929.0
2021-10-17 19:00:00,160.49,160.515,158.32,158.83,28748.5
2021-10-17 20:00:00,158.83,158.83,153.15,155.365,98820.6
2021-10-17 21:00:00,155.365,158.89,155.0,158.555,28317.7
2021-10-17 22:00:00,158.555,159.825,158.245,159.685,34792.8
2021-10-17 23:00:00,159.685,160.225,159.005,160.215,17314.0
2021-10-18 00:00:00,160.215,162.295,159.54,161.35,41567.1
2021-10-18 01:00:00,161.35,162.995,160.26,161.925,38513.2
2021-10-18 02:00:00,161.925,162.28,161.13,161.715,27016.6
